,iteration,x,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha
0,0,[4 8],13,0.0001,False,[-12 -20],[0. 0.],[0. 0.],0.25,0.5,0.01
1,1,[4.00999991666736 8.00999995000025],12.6827899902861,0.0001,False,[-12 -20],[-9.00000000000000 -15.0000000000000],[72.0000000000000 200.000000000000],0.25,0.5,0.01
2,2,[4.01995841517418 8.01998636452904],12.3718414386501,0.0001,False,[-11.6435909402757 -19.8000009999950],[-10.9826932052068 -18.6000007499963],[103.786604992236 296.020019799902],0.25,0.5,0.01
3,3,[4.02986871263716 8.02995708318754],12.0671491957008,0.0001,False,[-11.2957418314122 -19.6002727094191],[-11.2174796748609 -19.3502047195634],[115.690194257076 340.095355041750],0.25,0.5,0.01
4,4,[4.03973684602230 8.03991413842590],11.7684833065009,0.0001,False,[-10.9565236199904 -19.4008583362491],[-11.0217626337080 -19.3881949320777],[117.867802046241 358.244329612479],0.25,0.5,0.01
5,5,[4.04957316955290 8.04986094768645],11.4755553428374,0.0001,False,[-10.6255652109099 -19.2017172314820],[-10.7246145666094 -19.2483366566310],[115.385219048770 363.475137125137],0.25,0.5,0.01
6,6,[4.05938728696278 8.05980065385494],11.1881078741912,0.0001,False,[-10.3023739528602 -19.0027810462711],[-10.4079341062975 -19.0641699488610],[110.762064056671 362.290412308828],0.25,0.5,0.01
7,7,[4.06918641413386 8.06973559994543],10.9059378428721,0.0001,False,[-9.98651086350923 -18.8039869229012],[-10.0918666742063 -18.8690326793911],[105.246231641829 357.940168252733],0.25,0.5,0.01
8,8,[4.07897542356497 8.07966735491168],10.6288905657864,0.0001,False,[-9.67763830257199 -18.6052880010915],[-9.78119539548056 -18.6712241706664],[99.4514573786189 352.048454928146],0.25,0.5,0.01
9,9,[4.08875740019478 8.08959690317185],10.3568464995997,0.0001,False,[-9.37551003466020 -18.4066529017664],[-9.47693137486529 -18.4727957189914],[93.6758228943165 345.426662987125],0.25,0.5,0.01
10,10,[4.09853421146157 8.09952483487374],10.0897093079076,0.0001,False,[-9.07994649459511 -18.2080619365630],[-9.17919271466265 -18.2742453821701],[88.0606256195132 338.480091236420],0.25,0.5,0.01
11,11,[4.10830694656922 8.10945149064265],9.82739722823382,0.0001,False,[-8.79081204414002 -18.0095033025252],[-8.88790721177068 -18.0756888224364],[82.6695010074553 331.411150220043],0.25,0.5,0.01
12,12,[4.11807621674764 8.11937705941273],9.56983743132949,0.0001,False,[-8.50799833306154 -17.8109701871469],[-8.60297555273883 -17.8771498459693],[77.5277683214166 324.320904613740],0.25,0.5,0.01
13,13,[4.12784234742612 8.12930164035537],9.31696254510757,0.0001,False,[-8.23141333030305 -17.6124588117455],[-8.32430388591199 -17.6786315703014],[72.6419668678537 317.259805004585],0.25,0.5,0.01
14,14,[4.13760549622022 8.13922528048497],9.06870859221375,0.0001,False,[-7.96097451008493 -17.4139671928926],[-8.05180685404170 -17.4801332872448],[68.0095410090379 310.253029199863],0.25,0.5,0.01
15,15,[4.14736572331754 8.14914799684658],8.82501379839156,0.0001,False,[-7.69660477834275 -17.2154943903006],[-7.78540529726749 -17.2816541145366],[63.6236330615232 303.313138151167],0.25,0.5,0.01
16,16,[4.15712303258270 8.15906978933048],8.58581791733439,0.0001,False,[-7.43823010193226 -17.0170400630684],[-7.52502390076607 -17.0831935759355],[59.4754500554072 296.446395329621],0.25,0.5,0.01
17,17,[4.16687739516408 8.16899064794977],8.35106185385322,0.0001,False,[-7.18577815600879 -16.8186042133904],[-7.27058959219811 -16.8847515540267],[55.5554288813901 289.655921508147],0.25,0.5,0.01
18,18,[4.17662876286050 8.17891055691453],8.12068745599103,0.0001,False,[-6.93917756409177 -16.6201870410046],[-7.02203057111836 -16.6863281692601],[51.8538070736924 282.943269393063],0.25,0.5,0.01
19,19,[4.18637707558948 8.18882949688153],7.89463740137631,0.0001,False,[-6.69835747635312 -16.4217888617095],[-6.77927575004443 -16.4879236885972],[48.3608999773540 276.309209405814],0.25,0.5,0.01
20,20,[4.19612226549902 8.19874744617745],7.67285513551091,0.0001,False,[-6.46324733799295 -16.2234100623694],[-6.54225444100582 -16.2895384689263],[45.0672330647135 269.754121728801],0.25,0.5,0.01
21,21,[4.20586425918686 8.20866438144966],7.45528483839702,0.0001,False,[-6.23377676316443 -16.0250510764509],[-6.31089618262478 -16.0911729245698],[41.9636028988411 263.278191865832],0.25,0.5,0.01
22,22,[4.21560297885990 8.21858027799995],7.24187140649935,0.0001,False,[-6.00987546693623 -15.8267123710068],[-6.08513064585836 -15.8928275093976],[39.0411030134615 256.881508170206],0.25,0.5,0.01
23,23,[4.22533834290208 8.22849510994325],7.03256044294560,0.0001,False,[-5.79147322891323 -15.6283944400009],[-5.86488758314951 -15.6945027073501],[36.2911325873401 250.564110471229],0.25,0.5,0.01
24,24,[4.23507026611226 8.23840885026949],6.82729825212296,0.0001,False,[-5.57849987401307 -15.4300978011349],[-5.65009680129718 -15.4961990276887],[33.7053967158519 244.326014311909],0.25,0.5,0.01
25,25,[4.24479865975629 8.24832147085149],6.62603183660481,0.0001,False,[-5.37088526249019 -15.2318229946102],[-5.44068814719193 -15.2979170028798],[31.2759026093431 238.167223025522],0.25,0.5,0.01
26,26,[4.25452343151300 8.25823294242205],6.42870889530249,0.0001,False,[-5.16855928492503 -15.0335705829702],[-5.23659150049175 -15.0996571879476],[28.9949538455639 232.087733749335],0.25,0.5,0.01
27,27,[4.26424448535686 8.26814323453270],6.23527782225416,0.0001,False,[-4.97145185987273 -14.8353411515589],[-5.03773677002749 -14.9014201606561],[26.8551437202980 226.087540416236],0.25,0.5,0.01
28,28,[4.27396172140076 8.27805231550057],6.04568770573898,0.0001,False,[-4.77949293293708 -14.6371353093460],[-4.84405389220968 -14.7032065221735],[24.8493482081467 220.166635240170],0.25,0.5,0.01
29,29,[4.28367503571082 8.28796015234695],5.85988832755128,0.0001,False,[-4.59261247661150 -14.4389536899886],[-4.65547283051104 -14.5050168980348],[22.9707187842372 214.325009450902],0.25,0.5,0.01
30,30,[4.29338432009946 8.29786671072897],5.67783016234751,0.0001,False,[-4.41074049053836 -14.2407969530611],[-4.47192357553153 -14.3068519393045],[21.2126752295559 208.562653654608],0.25,0.5,0.01
31,31,[4.30308946189939 8.30777195486523],5.49946437701942,0.0001,False,[-4.23380700200239 -14.0426657854207],[-4.29333614538468 -14.1087123238916],[19.5688984798802 202.879558007816],0.25,0.5,0.01
32,32,[4.31279034371945 8.31767584745543],5.32474283006844,0.0001,False,[-4.06174206656178 -13.8445609026954],[-4.11964058626750 -13.9105987579945],[18.0333235475789 197.275712298129],0.25,0.5,0.01
33,33,[4.32248684318204 8.32757834959389],5.15361807096751,0.0001,False,[-3.89447576876704 -13.6464830508913],[-3.95076697314216 -13.7125119776671],[16.6001325305462 191.751105978197],0.25,0.5,0.01
34,34,[4.33217883264143 8.33747942067660],4.98604333950224,0.0001,False,[-3.73193822294222 -13.4484330081221],[-3.78664541049220 -13.5144527505084],[15.2637477152017 186.305728176073],0.25,0.5,0.01
35,35,[4.34186617888156 8.34737901830134],4.82197256508646,0.0001,False,[-3.57405957401605 -13.2504115864680],[-3.62720603313509 -13.3164218774781],[14.0188247769087 180.939567693439],0.25,0.5,0.01
36,36,[4.35154874279199 8.35727709816030],4.66136036604829,0.0001,False,[-3.42076999839768 -13.0524196339732],[-3.47237900708203 -13.1184201948495],[12.8602460794232 175.652612997384],0.25,0.5,0.01
37,37,[4.36122637901993 8.36717361392459],4.50416204888401,0.0001,False,[-3.27199970489514 -12.8544580367939],[-3.32209453044186 -12.9204485763078],[11.7831140741285 170.444852208540],0.25,0.5,0.01
38,38,[4.37089893559664 8.37706851711975],4.35033360747686,0.0001,False,[-3.12767893567664 -12.6565277215083],[-3.17628283436794 -12.7225079352082],[10.7827447994019 165.316273086924],0.25,0.5,0.01
39,39,[4.38056625353565 8.38696175699171],4.19983172227809,0.0001,False,[-2.98773796727640 -12.4586296576050],[-3.03487418404929 -12.5245992270058],[9.85466148025344 160.266863016140],0.25,0.5,0.01
40,40,[4.39022816640046 8.39685328036202],4.05261375944758,0.0001,False,[-2.85210711164673 -12.2607648601657],[-2.89779887974737 -12.3267234518757],[8.99458822827966 155.296608986207],0.25,0.5,0.01
41,41,[4.39988449983889 8.40674303147142],3.90863776995097,0.0001,False,[-2.72071671725905 -12.0629343927596],[-2.76498725788113 -12.1288816575387],[8.19844384192625 150.405497575115],0.25,0.5,0.01
42,42,[4.40953507108100 8.41663095181074],3.76786248861003,0.0001,False,[-2.59349717025664 -11.8651393705716],[-2.63636969216276 -11.9310749423134],[7.46233570702772 145.593514929102],0.25,0.5,0.01
43,43,[4.41917968839703 8.42651697993764],3.63024733310288,0.0001,False,[-2.47037889566239 -11.6673809637852],[-2.51187659478748 -11.7333044584173],[6.78255379758093 140.860646741600],0.25,0.5,0.01
44,44,[4.42881815051182 8.43640105127794],3.49575240291029,0.0001,False,[-2.35129235864486 -11.4696604012472],[-2.39143841768052 -11.5355714155397],[6.15556477670132 136.206878230769],0.25,0.5,0.01
45,45,[4.43845024597114 8.44628309790983],3.36433847820371,0.0001,False,[-2.23616806584656 -11.2719789744412],[-2.27498565380505 -11.3378770847158],[5.57800619770663 131.632194115507],0.25,0.5,0.01
46,46,[4.44807575245555 8.45616304832930],3.23596701867046,0.0001,False,[-2.12493656677847 -11.0743380418034],[-2.16244883853511 -11.1402228025315],[5.04668080526944 127.136578589821],0.25,0.5,0.01
47,47,[4.45769443603624 8.46604082719468],3.11060016227129,0.0001,False,[-2.01752845528523 -10.8767390334139],[-2.05375855109770 -10.9426099756933],[4.55855093657753 122.720015295406],0.25,0.5,0.01
48,48,[4.46730605036724 8.47591635504804],2.98820072392426,0.0001,False,[-1.91387437108586 -10.6791834561064],[-1.94884541608882 -10.7450400860031],[4.11073302243841 118.382487292291],0.25,0.5,0.01
49,49,[4.47691033580720 8.48578954801100],2.86873219410925,0.0001,False,[-1.81390500139508 -10.4816728990392],[-1.84764010506851 -10.5475146957802],[3.70049218826224 114.123977027372],0.25,0.5,0.01
50,50,[4.48650701846362 8.49566031745192],2.75215873738589,0.0001,False,[-1.71755108263124 -10.2842090397801],[-1.75007333824056 -10.3500354537801],[3.32523695485499 109.944466300633],0.25,0.5,0.01
51,51,[4.49609580915104 8.50552856962139],2.63844519081758,0.0001,False,[-1.62474340221660 -10.0867936509615],[-1.65607588622259 -10.1526041016662],[2.98251403895068 105.843936228856],0.25,0.5,0.01
52,52,[4.50567640225419 8.51539420525206],2.52755706229307,0.0001,False,[-1.53541280047714 -9.88942860757220],[-1.56557857191350 -9.95522248109569],[2.67000325340987 101.822367206561],0.25,0.5,0.01
53,53,[4.51524847448534 8.52525711911888],2.41946052873625,0.0001,False,[-1.44949017264896 -9.69211589495876],[-1.47851227246509 -9.75789254149299],[2.38551250700788 97.8797388639369],0.25,0.5,0.01
54,54,[4.52481168352439 8.53511719955470],2.31412243419363,0.0001,False,[-1.36690647099947 -9.49485761762236],[-1.39480792136587 -9.56061634859002],[2.12697290373405 94.0160300214291],0.25,0.5,0.01
55,55,[4.53436566652813 8.54497432791584],2.21151028778784,0.0001,False,[-1.28759270707223 -9.29765600890602],[-1.31439651064564 -9.36339609382702],[1.89243394151982 90.2312186406876],0.25,0.5,0.01
56,56,[4.54391003849380 8.55482837799128],2.11159226152390,0.0001,False,[-1.21147995406499 -9.10051344168326],[-1.23720909321015 -9.16623410471920],[1.68005881031057 86.5252817714727],0.25,0.5,0.01
57,57,[4.55344439045972 8.56467921534824],2.01433718793358,0.0001,False,[-1.13849934935171 -8.90343244017436],[-1.16317678531632 -8.96913285631057],[1.48811978939241 82.8981954941109],0.25,0.5,0.01
58,58,[4.56296828752360 8.57452669660564],1.91971455754115,0.0001,False,[-1.06858209716020 -8.70641569303530],[-1.09223076919923 -8.77209498385411],[1.31499374388185 79.3499348570211],0.25,0.5,0.01
59,59,[4.57248126665644 8.58437066862599],1.82769451613149,0.0001,False,[-1.00165947141837 -8.50946606788725],[-1.02430229586358 -8.57512329687896],[1.15915772028199 75.8804738087728],0.25,0.5,0.01
60,60,[4.58198283428675 8.59421096761420],1.73824786179939,0.0001,False,[-0.937662818783302 -8.31258662748027],[-0.959322688053372 -8.37822079482994],[1.01918464100532 72.4897851240683],0.25,0.5,0.01
61,61,[4.59147246362620 8.60404741811045],1.65134604175558,0.0001,False,[-0.876523561869051 -8.11578064771601],[-0.897223343415131 -8.18139068449449],[0.893739097758462 69.1778403229550],0.25,0.5,0.01
62,62,[4.60094959170355 8.61387983186169],1.56696114886184,0.0001,False,[-0.818173202690621 -7.91905163779103],[-0.837935737871748 -7.98463639946689],[0.781573243679745 65.9446095824779],0.25,0.5,0.01
63,63,[4.61041361606903 8.62370800655401],1.48506591786337,0.0001,False,[-0.762543326343716 -7.72240336276613],[-0.781391429225724 -7.78796162194132],[0.681522784115542 62.7900616398698],0.25,0.5,0.01
64,64,[4.61986389112515 8.63353172438469],1.40563372128203,0.0001,False,[-0.709565604941957 -7.52583986891983],[-0.727522061012899 -7.59137030717520],[0.592503065916094 59.7141636862465],0.25,0.5,0.01
65,65,[4.62929972403367 8.64335075044932],1.32863856492856,0.0001,False,[-0.659171801835829 -7.32936551230611],[-0.676259366630097 -7.39486671102338],[0.513505265125794 56.7168812496144],0.25,0.5,0.01
66,66,[4.63872037014018 8.65316483091432],1.25405508298506,0.0001,False,[-0.611293776140557 -7.13298499101353],[-0.627535173762942 -7.19845542101599],[0.443592672936987 53.7981780658193],0.25,0.5,0.01
67,67,[4.64812502784869 8.66297369094007],1.18185853260167,0.0001,False,[-0.565863487603367 -6.93670338171361],[-0.581281409143260 -7.00214139153921],[0.381897079769816 50.9580159358482],0.25,0.5,0.01
68,68,[4.65751283286748 8.67277703231279],1.11202478794161,0.0001,False,[-0.522813001844455 -6.74052618119856],[-0.537430103669156 -6.80592998378372],[0.327615257333713 48.1963545676357],0.25,0.5,0.01
69,69,[4.66688285173459 8.68257453073488],1.04453033359799,0.0001,False,[-0.482074496010337 -6.54445935374423],[-0.495913397925042 -6.60982701125410],[0.280005538518667 45.5131514002230],0.25,0.5,0.01
